id,nome,metodo,estado,detalhe,novo_url
35,Sul Informação,rss,ok,10 itens em https://www.sulinformacao.pt/feed,
36,Barlavento,rss,ok,10 itens em https://www.barlavento.pt/feed,
37,Postal do Algarve,rss,ok,50 itens em https://postal.pt/feed,
38,Jornal do Algarve,rss,ok,10 itens em https://jornaldoalgarve.pt/feed,
39,Região Sul,rss,ok,10 itens em https://regiao-sul.pt/feed,
40,Mais Algarve,rss,ok,10 itens em https://www.maisalgarve.pt/feed,
41,Algarve Primeiro,scrape,ok,site responde (114949 bytes),
42,Algarve Daily News,scrape,ok,site responde (109676 bytes),
43,Portugal Resident,rss,ok,10 itens em https://www.portugalresident.com/feed,
44,Público,rss,ok,10 itens em https://feeds.feedburner.com/PublicoRSS,
45,Expresso,scrape,falha,HTTP 403,
46,ECO,rss,ok,22 itens em https://eco.sapo.pt/feed,
47,Jornal de Negócios,rss,ok,20 itens em https://www.jornaldenegocios.pt/rss,
48,Observador,rss,ok,51 itens em https://observador.pt/feed,
49,Dinheiro Vivo,rss,ok,23 itens em https://www.dinheirovivo.pt/feed,
50,SAPO Tek,rss,ok,24 itens em https://tek.sapo.pt/rss,
51,Exame Informática,scrape,ok,site responde (400000 bytes),
52,Jornal Económico,rss,ok,10 itens em https://jornaleconomico.pt/feed,
53,Startup Portugal,scrape,ok,site responde (57279 bytes),
54,INE - Instituto Nacional de Estatística,api,erro_servidor,HTTP 500,
55,PORDATA,manual,ignorado,,
56,dados.gov.pt,api,ok,HTTP 200 em https://dados.gov.pt/api/1/,
57,IEFP - estatísticas mensais de desemprego,scrape,ok,site responde (400000 bytes),
58,BASE.gov.pt - contratos públicos,api,ok,HTTP 200 em https://www.base.gov.pt/Base4/pt/resultados/,
59,PT2030 - lista de operações aprovadas,scrape,ok,site responde (314816 bytes),
60,PRR - Recuperar Portugal (beneficiários),scrape,ok,site responde (319479 bytes),
61,CORDIS - Horizon Europe,api,ok,HTTP 200 em https://cordis.europa.eu/datalab/,
62,OpenAlex,api,ok,HTTP 400 em https://api.openalex.org/works?filter=institutions.ror:,
63,EPO OPS - patentes,api,ok,HTTP 200 em https://ops.epo.org,
64,OpenSky Network - voos Faro (LPFR),api,ok,HTTP 400 em https://opensky-network.org/api/flights/arrival?airport=LPFR,
65,Racius - observatório de empresas,scrape,ok,site responde (38724 bytes),
66,TravelBI - Turismo de Portugal,scrape,ok,site responde (169461 bytes),
67,BPstat - Banco de Portugal,api,ok,HTTP 200 em https://bpstat.bportugal.pt/data/v1/,
68,Eurostat,api,ok,HTTP 404 em https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/,
69,Google News: Algarve startup,rss,ok,79 itens em https://news.google.com/rss/search?q=Algarve+startup&hl=pt-PT&gl=PT&ceid=PT:pt,
70,Google News: Algarve inovação,rss,ok,80 itens em https://news.google.com/rss/search?q=Algarve+inova%C3%A7%C3%A3o&hl=pt-PT&gl=PT&ceid=PT:pt,
71,Google News: Algarve investimento OR financiamento,rss,ok,86 itens em https://news.google.com/rss/search?q=Algarve+(investimento+OR+financiamento)&hl=pt-PT&gl=PT&ceid=PT:pt,
72,Google News: Algarve tecnologia,rss,ok,77 itens em https://news.google.com/rss/search?q=Algarve+tecnologia&hl=pt-PT&gl=PT&ceid=PT:pt,
73,Google News: Algarve turismo negócios,rss,ok,78 itens em https://news.google.com/rss/search?q=Algarve+turismo+neg%C3%B3cios&hl=pt-PT&gl=PT&ceid=PT:pt,
74,LinkedIn (curadoria manual via label Gmail),email,ignorado,,
75,Eventbrite (pesquisa Algarve),api,ok,HTTP 200 em https://www.eventbrite.pt,
76,Meetup (grupos Algarve),scrape,ok,site responde (400000 bytes),
77,Agenda UAlg,scrape,ok,site responde (174705 bytes),
78,ATH Summit,manual,ignorado,,
